x,y,z,t
4571513.599917647,3157335.0597471544,3122088.642846879,19.0
4571498.3208368085,3157348.9907728285,3122096.8713842425,19.1
4571483.041704921,3157362.9217222147,3122105.0999147813,19.200000000000003
4571467.762521983,3157376.8525953144,3122113.3284384953,19.3
4571452.483287998,3157390.7833921257,3122121.5569553864,19.400000000000002
4571437.204002961,3157404.714112649,3122129.7854654524,19.5
4571421.924666879,3157418.6447568866,3122138.013968694,19.6
4571406.6452797465,3157432.575324834,3122146.242465112,19.700000000000003
4571391.365841568,3157446.5058164936,3122154.470954705,19.8
4571376.086352342,3157460.4362318646,3122162.699437474,19.900000000000002
4571360.806812069,3157474.366570947,3122170.927913419,20.0
4571345.52722075,3157488.29683374,3122179.1563825393,20.1
4571330.247578385,3157502.2270202436,3122187.3848448354,20.200000000000003
4571314.967884975,3157516.157130458,3122195.613300307,20.3
4571299.688140519,3157530.0871643825,3122203.8417489543,20.400000000000002
4571284.4083450185,3157544.0171220177,3122212.070190777,20.5
4571269.128498472,3157557.9470033613,3122220.2986257756,20.6
4571253.848600883,3157571.876808415,3122228.527053949,20.700000000000003
4571238.568652251,3157585.8065371793,3122236.755475299,20.8
4571223.288652575,3157599.7361896522,3122244.9838898242,20.900000000000002
4571208.0086018555,3157613.6657658336,3122253.2122975243,21.0
4571192.728500094,3157627.595265724,3122261.4406984006,21.1
4571177.448347289,3157641.5246893223,3122269.669092452,21.200000000000003
4571162.168143445,3157655.45403663,3122277.8974796785,21.3
4571146.887888556,3157669.383307644,3122286.125860081,21.400000000000002
4571131.60758263,3157683.312502368,3122294.3542336593,21.5
4571116.327225661,3157697.241620799,3122302.5826004115,21.6
4571101.046817653,3157711.170662937,3122310.8109603403,21.700000000000003
4571085.766358605,3157725.0996287838,3122319.039313444,21.8
4571070.485848517,3157739.028518336,3122327.2676597233,21.900000000000002
4571055.205287389,3157752.9573315955,3122335.4959991775,22.0
4571039.924675224,3157766.886068562,3122343.7243318073,22.1
4571024.64401202,3157780.8147292337,3122351.952657612,22.200000000000003
4571009.363297779,3157794.743313613,3122360.180976593,22.3
4570994.082532499,3157808.6718216967,3122368.4092887477,22.400000000000002
4570978.801716183,3157822.6002534865,3122376.6375940787,22.5
4570963.52084883,3157836.528608983,3122384.865892585,22.6
4570948.239930442,3157850.4568881835,3122393.0941842655,22.700000000000003
4570932.9589610165,3157864.385091089,3122401.3224691222,22.8
4570917.677940556,3157878.3132177,3122409.550747154,22.900000000000002
4570902.396869059,3157892.241268015,3122417.77901836,23.0
4570887.115746529,3157906.169242035,3122426.0072827428,23.1
4570871.834572963,3157920.097139759,3122434.235540299,23.200000000000003
4570856.553348363,3157934.024961186,3122442.4637910305,23.3
4570841.2720727315,3157947.952706318,3122450.6920349374,23.400000000000002
4570825.990746065,3157961.8803751534,3122458.920272019,23.5
4570810.709368366,3157975.807967692,3122467.1485022763,23.6
4570795.427939634,3157989.7354839332,3122475.3767257086,23.700000000000003
4570780.14645987,3158003.662923877,3122483.604942315,23.8
4570764.864929076,3158017.5902875247,3122491.8331520967,23.900000000000002
4570749.583347248,3158031.5175748738,3122500.061355054,24.0
4570734.301714391,3158045.4447859256,3122508.2895511854,24.1
4570719.020030504,3158059.3719206797,3122516.5177404922,24.200000000000003
4570703.738295585,3158073.298979135,3122524.745922975,24.3
4570688.456509637,3158087.225961292,3122532.9740986302,24.400000000000002
4570673.17467266,3158101.152867151,3122541.202267462,24.5
4570657.892784652,3158115.0796967093,3122549.430429468,24.6
4570642.610845619,3158129.006449971,3122557.658584649,24.700000000000003
4570627.3288555555,3158142.9331269315,3122565.8867330044,24.8
4570612.046814464,3158156.8597275927,3122574.1148745352,24.900000000000002
4570596.764722345,3158170.7862519547,3122582.3430092405,25.0
4570581.4825792005,3158184.712700017,3122590.571137121,25.1
4570566.200385028,3158198.6390717784,3122598.7992581762,25.200000000000003
4570550.918139829,3158212.565367239,3122607.027372405,25.3
4570535.635843605,3158226.4915864,3122615.25547981,25.400000000000002
4570520.353496354,3158240.4177292595,3122623.483580388,25.5
4570505.071098079,3158254.3437958183,3122631.7116741417,25.6
4570489.7886487795,3158268.2697860757,3122639.93976107,25.700000000000003
4570474.506148455,3158282.1957000317,3122648.167841173,25.8
4570459.2235971065,3158296.121537686,3122656.39591445,25.900000000000002
4570443.940994735,3158310.0472990386,3122664.6239809026,26.0
4570428.658341339,3158323.9729840886,3122672.8520405283,26.1
4570413.37563692,3158337.8985928358,3122681.08009333,26.200000000000003
4570398.09288148,3158351.824125281,3122689.3081393056,26.3
4570382.810075019,3158365.7495814245,3122697.5361784557,26.400000000000002
4570367.527217534,3158379.6749612633,3122705.76421078,26.5
4570352.244309029,3158393.6002648,3122713.9922362794,26.6
4570336.961349502,3158407.525492033,3122722.220254953,26.700000000000003
